LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1707823639.188836,42484.000,4054,2,PI,1,100,170852
1707823639.229060,42523.000,4054,2,PI,1,100,170921
1707823639.268940,42561.667,4072,3,PI,1,100,170858
1707823639.308820,42600.333,4072,3,PI,1,100,170594
1707823639.348700,42639.000,4072,3,PI,1,100,170395
1707823639.387892,42677.000,4087,3,PI,1,100,170301
1707823639.427084,42715.000,4087,3,PI,1,100,170237
1707823639.466277,42753.000,4087,3,PI,1,100,170191
1707823639.506500,42792.000,4103,2,PI,1,100,170242
1707823639.546724,42831.000,4103,2,PI,1,100,170335
1707823639.587292,42870.333,4120,3,PI,1,100,170379
1707823639.627859,42909.667,4120,3,PI,1,100,170424
1707823639.668427,42949.000,4120,3,PI,1,100,170476
1707823639.708651,42988.000,4139,2,PI,1,100,170546
1707823639.748874,43027.000,4139,2,PI,1,100,170620
1707823639.788754,43065.667,4155,3,PI,1,100,170692
1707823639.828634,43104.333,4155,3,PI,1,100,170750
1707823639.868514,43143.000,4155,3,PI,1,100,170814
1707823639.908394,43181.667,4171,3,PI,1,100,170882
1707823639.948274,43220.333,4171,3,PI,1,100,170950
1707823639.988154,43259.000,4171,3,PI,1,100,170996
1707823640.026831,43296.500,4187,2,PI,1,100,171067
1707823640.065508,43334.000,4187,2,PI,1,100,171122
1707823640.105388,43372.667,4204,3,PI,1,100,171004
1707823640.145268,43411.333,4204,3,PI,1,100,170701
1707823640.185147,43450.000,4204,3,PI,1,100,170485
1707823640.226403,43490.000,4220,2,PI,1,100,170370
1707823640.267658,43530.000,4220,2,PI,1,100,170275
1707823640.307538,43568.667,4237,3,PI,1,100,170226
1707823640.347418,43607.333,4237,3,PI,1,100,170252
1707823640.387298,43646.000,4237,3,PI,1,100,170329
1707823640.427178,43684.667,4252,3,PI,1,100,170367
1707823640.467058,43723.333,4252,3,PI,1,100,170390
1707823640.506938,43762.000,4252,3,PI,1,100,170428
1707823640.546646,43800.500,4271,2,PI,1,100,170495
1707823640.586354,43839.000,4271,2,PI,1,100,170561
1707823640.626234,43877.667,4288,3,PI,1,100,170616
1707823640.666114,43916.333,4288,3,PI,1,100,170688
1707823640.705994,43955.000,4288,3,PI,1,100,170765
1707823640.753437,44001.000,4305,2,PI,1,100,170814
1707823640.800880,44047.000,4305,2,PI,1,100,170866
1707823640.840073,44085.000,4319,3,PI,1,100,170922
1707823640.879265,44123.000,4319,3,PI,1,100,170999
1707823640.918458,44161.000,4319,3,PI,1,100,171041
1707823640.957994,44199.333,4337,3,PI,1,100,170896
1707823640.997530,44237.667,4337,3,PI,1,100,170588
1707823641.037066,44276.000,4337,3,PI,1,100,170388
1707823641.076946,44314.667,4360,3,PI,1,100,170280
1707823641.116826,44353.333,4360,3,PI,1,100,170198
1707823641.156706,44392.000,4360,3,PI,1,100,170160
1707823641.196586,44430.667,4377,3,PI,1,100,170201
1707823641.236466,44469.333,4377,3,PI,1,100,170272
1707823641.276346,44508.000,4377,3,PI,1,100,170309
1707823641.316570,44547.000,4394,2,PI,1,100,170343
1707823641.356793,44586.000,4394,2,PI,1,100,170392
1707823641.396673,44624.667,4413,3,PI,1,100,170452
1707823641.436553,44663.333,4413,3,PI,1,100,170507
1707823641.476433,44702.000,4413,3,PI,1,100,170575
1707823641.514938,44739.333,4427,3,PI,1,100,170648
1707823641.553443,44776.667,4427,3,PI,1,100,170709
1707823641.591948,44814.000,4427,3,PI,1,100,170770
1707823641.631656,44852.500,4445,2,PI,1,100,170833
1707823641.671364,44891.000,4445,2,PI,1,100,170885
1707823641.711588,44930.000,4461,3,PI,1,100,170939
1707823641.751811,44969.000,4461,3,PI,1,100,171003
1707823641.792035,45008.000,4461,3,PI,1,100,170941
1707823641.833290,45048.000,4478,2,PI,1,100,170641
1707823641.874545,45088.000,4478,2,PI,1,100,170422
1707823641.914769,45127.000,4495,3,PI,1,100,170309
1707823641.954993,45166.000,4495,3,PI,1,100,170250
1707823641.995217,45205.000,4495,3,PI,1,100,170216
1707823642.034925,45243.500,4510,2,PI,1,100,170240
1707823642.074633,45282.000,4510,2,PI,1,100,170304
1707823642.113825,45320.000,4526,3,PI,1,100,170341
