LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1707151691.889180,582133.500,26395,2,EL,1,100,-19149.000000
1707151691.956774,582199.000,26395,2,EL,1,100,-19149.000000
1707151692.022819,582263.000,26412,1,EL,1,100,-19149.400391
1707151692.089380,582327.500,26426,2,EL,1,100,-19149.000000
1707151692.155942,582392.000,26426,2,EL,1,100,-19149.000000
1707151692.221987,582456.000,26444,1,EL,1,100,-19150.199219
1707151692.287517,582519.500,26462,2,EL,1,100,-19150.800781
1707151692.353046,582583.000,26462,2,EL,1,100,-19150.400391
1707151692.420123,582648.000,26479,2,EL,1,100,-19150.199219
1707151692.487201,582713.000,26479,2,EL,1,100,-19150.199219
1707151692.555310,582779.000,26496,1,EL,1,100,-19150.199219
1707151692.622387,582844.000,26511,2,EL,1,100,-19150.199219
1707151692.689465,582909.000,26511,2,EL,1,100,-19151.000000
1707151692.756542,582974.000,26527,1,EL,1,100,-19151.000000
1707151692.822072,583037.500,26545,2,EL,1,100,-19151.000000
1707151692.887601,583101.000,26545,2,EL,1,100,-19151.000000
1707151692.952614,583164.000,26561,1,EL,1,100,-19151.000000
1707151693.019176,583228.500,26577,2,EL,1,100,-19151.000000
1707151693.085737,583293.000,26577,2,EL,1,100,-19151.000000
1707151693.154362,583359.500,26593,2,EL,1,100,-19151.000000
1707151693.222988,583426.000,26593,2,EL,1,100,-19150.800781
1707151693.290065,583491.000,26612,1,EL,1,100,-19150.599609
1707151693.356627,583555.500,26628,2,EL,1,100,-19150.400391
1707151693.423188,583620.000,26628,2,EL,1,100,-19151.000000
1707151693.488201,583683.000,26645,1,EL,1,100,-19151.000000
1707151693.554763,583747.500,26660,2,EL,1,100,-19151.000000
1707151693.621324,583812.000,26660,2,EL,1,100,-19150.800781
1707151693.687370,583876.000,26677,1,EL,1,100,-19150.599609
1707151693.755995,583942.500,26693,2,EL,1,100,-19150.800781
1707151693.824620,584009.000,26693,2,EL,1,100,-19150.800781
1707151693.891182,584073.500,26711,2,EL,1,100,-19150.199219
1707151693.957743,584138.000,26711,2,EL,1,100,-19150.000000
1707151694.023788,584202.000,26726,1,EL,1,100,-19150.199219
1707151694.089318,584265.500,26744,2,EL,1,100,-19151.599609
1707151694.154847,584329.000,26744,2,EL,1,100,-19152.199219
1707151694.223988,584396.000,26761,1,EL,1,100,-19152.599609
1707151694.291066,584461.000,26778,2,EL,1,100,-19152.000000
1707151694.358143,584526.000,26778,2,EL,1,100,-19152.000000
1707151694.424189,584590.000,26794,1,EL,1,100,-19152.400391
1707151694.490750,584654.500,26810,2,EL,1,100,-19152.199219
1707151694.557311,584719.000,26810,2,EL,1,100,-19152.800781
