LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AZ
1707151617.126984,509686.667,14664,3,AZ,1,100,-0.280
1707151617.162415,509721.000,14664,3,AZ,1,100,-0.281
1707151617.202318,509759.667,14680,3,AZ,1,100,-0.282
1707151617.242220,509798.333,14680,3,AZ,1,100,-0.279
1707151617.282122,509837.000,14680,3,AZ,1,100,-0.284
1707151617.321337,509875.000,14701,3,AZ,1,100,-0.281
1707151617.360551,509913.000,14701,3,AZ,1,100,-0.280
1707151617.399766,509951.000,14701,3,AZ,1,100,-0.279
1707151617.439496,509989.500,14717,2,AZ,1,100,-0.283
1707151617.479227,510028.000,14717,2,AZ,1,100,-0.280
1707151617.519129,510066.667,14734,3,AZ,1,100,-0.279
1707151617.559031,510105.333,14734,3,AZ,1,100,-0.284
1707151617.598934,510144.000,14734,3,AZ,1,100,-0.282
1707151617.639868,510183.667,14751,3,AZ,1,100,-0.282
1707151617.680803,510223.333,14751,3,AZ,1,100,-0.281
1707151617.721737,510263.000,14751,3,AZ,1,100,-0.279
1707151617.761984,510302.000,14767,2,AZ,1,100,-0.280
1707151617.802230,510341.000,14767,2,AZ,1,100,-0.282
1707151617.842132,510379.667,14782,3,AZ,1,100,-0.281
1707151617.882035,510418.333,14782,3,AZ,1,100,-0.283
1707151617.921937,510457.000,14782,3,AZ,1,100,-0.283
1707151617.961152,510495.000,14802,3,AZ,1,100,-0.282
1707151618.000366,510533.000,14802,3,AZ,1,100,-0.282
1707151618.039581,510571.000,14802,3,AZ,1,100,-0.282
1707151618.079311,510609.500,14818,2,AZ,1,100,-0.282
1707151618.119041,510648.000,14818,2,AZ,1,100,-0.282
1707151618.158944,510686.667,14835,3,AZ,1,100,-0.282
1707151618.198846,510725.333,14835,3,AZ,1,100,-0.282
1707151618.238749,510764.000,14835,3,AZ,1,100,-0.282
1707151618.280027,510804.000,14849,2,AZ,1,100,-0.281
1707151618.321306,510844.000,14849,2,AZ,1,100,-0.283
1707151618.361552,510883.000,14867,3,AZ,1,100,-0.281
1707151618.401798,510922.000,14867,3,AZ,1,100,-0.280
1707151618.442045,510961.000,14867,3,AZ,1,100,-0.281
1707151618.481947,510999.667,14883,3,AZ,1,100,-0.282
1707151618.521850,511038.333,14883,3,AZ,1,100,-0.278
1707151618.561752,511077.000,14883,3,AZ,1,100,-0.284
1707151618.600967,511115.000,14900,2,AZ,1,100,-0.280
1707151618.640181,511153.000,14900,2,AZ,1,100,-0.280
1707151618.680427,511192.000,14917,3,AZ,1,100,-0.283
1707151618.720674,511231.000,14917,3,AZ,1,100,-0.282
1707151618.760920,511270.000,14917,3,AZ,1,100,-0.279
1707151618.800651,511308.500,14934,2,AZ,1,100,-0.281
