eid,utc,trecon,dv,V1,sid,t,filter
blue8,1707824285.6218,0,ACC,1.03519515068416,blue8_2024-02-13_11-37-17,2024-02-13T11:38:05.621800Z,1
blue8,1707824285.66148,0,ACC,1.0334892355511,blue8_2024-02-13_11-37-17,2024-02-13T11:38:05.661480Z,1
blue8,1707824285.70116,0,ACC,1.03455884317906,blue8_2024-02-13_11-37-17,2024-02-13T11:38:05.701160Z,1
blue8,1707824285.74136,0,ACC,1.03280733924581,blue8_2024-02-13_11-37-17,2024-02-13T11:38:05.741360Z,1
blue8,1707824285.78155,0,ACC,1.03319504450999,blue8_2024-02-13_11-37-17,2024-02-13T11:38:05.781550Z,1
blue8,1707824285.82175,0,ACC,1.03498550714491,blue8_2024-02-13_11-37-17,2024-02-13T11:38:05.821750Z,1
blue8,1707824285.86117,0,ACC,1.03347472150992,blue8_2024-02-13_11-37-17,2024-02-13T11:38:05.861170Z,1
blue8,1707824285.90059,0,ACC,1.03108680526908,blue8_2024-02-13_11-37-17,2024-02-13T11:38:05.900590Z,1
blue8,1707824285.94001,0,ACC,1.03434133631021,blue8_2024-02-13_11-37-17,2024-02-13T11:38:05.940010Z,1
blue8,1707824285.97943,0,ACC,1.03066483397853,blue8_2024-02-13_11-37-17,2024-02-13T11:38:05.979430Z,1
blue8,1707824286.02014,0,ACC,1.03666773847747,blue8_2024-02-13_11-37-17,2024-02-13T11:38:06.020140Z,1
blue8,1707824286.06085,0,ACC,1.03524441558503,blue8_2024-02-13_11-37-17,2024-02-13T11:38:06.060850Z,1
blue8,1707824286.1007,0,ACC,1.03405125598299,blue8_2024-02-13_11-37-17,2024-02-13T11:38:06.100700Z,1
blue8,1707824286.14055,0,ACC,1.0363710725411,blue8_2024-02-13_11-37-17,2024-02-13T11:38:06.140550Z,1
blue8,1707824286.1804,0,ACC,1.03654570569753,blue8_2024-02-13_11-37-17,2024-02-13T11:38:06.180400Z,1
