category,condition,item,stim,edv,t,metric,y
cluster,man,pizza,pizza.mp4,HR,72,raw,71.0146732529156
cluster,man,pizza,pizza.mp4,ACC,73,raw,1.02258903774231
cluster,man,pizza,pizza.mp4,EA,73,raw,4.09046346666667
cluster,man,pizza,pizza.mp4,HR,73,raw,71.1931544930451
cluster,man,pizza,pizza.mp4,ACC,74,raw,1.02219596023435
cluster,man,pizza,pizza.mp4,EA,74,raw,4.08591664444444
cluster,man,pizza,pizza.mp4,HR,74,raw,70.7278427158357
cluster,man,pizza,pizza.mp4,ACC,75,raw,1.02230838332247
cluster,man,pizza,pizza.mp4,EA,75,raw,4.07692151111111
cluster,man,pizza,pizza.mp4,HR,75,raw,70.8596020849073
cluster,man,pizza,pizza.mp4,ACC,76,raw,1.0224389421737
cluster,man,pizza,pizza.mp4,EA,76,raw,4.07115713333333
cluster,man,pizza,pizza.mp4,HR,76,raw,70.015322156716
cluster,man,pizza,pizza.mp4,ACC,77,raw,1.02212726399661
cluster,man,pizza,pizza.mp4,EA,77,raw,4.06290113333333
cluster,man,pizza,pizza.mp4,HR,77,raw,68.7808448515236
cluster,man,pizza,pizza.mp4,ACC,78,raw,1.02211352256232
cluster,man,pizza,pizza.mp4,EA,78,raw,4.05796966666667
cluster,man,pizza,pizza.mp4,HR,78,raw,68.230060940479
cluster,man,pizza,pizza.mp4,ACC,79,raw,1.02185669929526
cluster,man,pizza,pizza.mp4,EA,79,raw,4.05671897777778
cluster,man,pizza,pizza.mp4,HR,79,raw,69.0349716927782
cluster,man,pizza,pizza.mp4,ACC,80,raw,1.02225364435006
cluster,man,pizza,pizza.mp4,EA,80,raw,4.05523515555556
cluster,man,pizza,pizza.mp4,HR,80,raw,68.3652973064784
cluster,man,pizza,pizza.mp4,ACC,81,raw,1.02255822319114
cluster,man,pizza,pizza.mp4,EA,81,raw,4.0520006
cluster,man,pizza,pizza.mp4,HR,81,raw,68.5334471635058
cluster,man,pizza,pizza.mp4,ACC,82,raw,1.02240301643504
cluster,man,pizza,pizza.mp4,EA,82,raw,4.05098133333333
cluster,man,pizza,pizza.mp4,HR,82,raw,68.7039575033615
cluster,man,pizza,pizza.mp4,ACC,83,raw,1.02224201129375
cluster,man,pizza,pizza.mp4,EA,83,raw,4.05638731111111
cluster,man,pizza,pizza.mp4,HR,83,raw,70.4580223353355
cluster,man,pizza,pizza.mp4,ACC,84,raw,1.02238320354693
cluster,man,pizza,pizza.mp4,EA,84,raw,4.06526054347826
cluster,man,pizza,pizza.mp4,HR,84,raw,69.7587769775554
cluster,man,pizza,pizza.mp4,ACC,85,raw,1.02188266645127
cluster,man,pizza,pizza.mp4,EA,85,raw,4.07440691111111
cluster,man,pizza,pizza.mp4,HR,85,raw,69.5156920564769
cluster,man,pizza,pizza.mp4,ACC,86,raw,1.02249482031622
cluster,man,pizza,pizza.mp4,EA,86,raw,4.07049237777778
cluster,man,pizza,pizza.mp4,HR,86,raw,68.4040802361125
cluster,man,pizza,pizza.mp4,ACC,87,raw,1.02135922528493
cluster,man,pizza,pizza.mp4,EA,87,raw,4.05854722222222
cluster,man,pizza,pizza.mp4,HR,87,raw,67.8081267597454
cluster,man,pizza,pizza.mp4,ACC,88,raw,1.02230994395681
cluster,man,pizza,pizza.mp4,EA,88,raw,4.05671397826087
cluster,man,pizza,pizza.mp4,HR,88,raw,68.5688001345723
cluster,man,pizza,pizza.mp4,ACC,89,raw,1.02254703564109
cluster,man,pizza,pizza.mp4,EA,89,raw,4.04999551111111
cluster,man,pizza,pizza.mp4,HR,89,raw,68.3747297975718
cluster,man,pizza,pizza.mp4,ACC,90,raw,1.02220237888679
cluster,man,pizza,pizza.mp4,EA,90,raw,4.0470482
cluster,man,pizza,pizza.mp4,HR,90,raw,68.195584116778
cluster,man,pizza,pizza.mp4,ACC,91,raw,1.02191928559492
cluster,man,pizza,pizza.mp4,EA,91,raw,4.04319117777778
cluster,man,pizza,pizza.mp4,HR,91,raw,68.5410301409926
cluster,man,pizza,pizza.mp4,ACC,92,raw,1.02278233805913
cluster,man,pizza,pizza.mp4,EA,92,raw,4.03782748888889
cluster,man,pizza,pizza.mp4,HR,92,raw,68.6632796887684
cluster,man,pizza,pizza.mp4,ACC,93,raw,1.0220315720332
cluster,man,pizza,pizza.mp4,EA,93,raw,4.03007431111111
cluster,man,pizza,pizza.mp4,HR,93,raw,69.1881248649008
cluster,man,pizza,pizza.mp4,ACC,94,raw,1.02673312831126
cluster,man,pizza,pizza.mp4,EA,94,raw,4.028923
narrative_order,end,benz,LATE_MB.mp4,ACC,59,raw,1.03439796774926
narrative_order,end,benz,LATE_MB.mp4,EA,59,raw,4.30864586666667
narrative_order,end,benz,LATE_MB.mp4,HR,59,raw,70.0748873051119
narrative_order,end,benz,LATE_MB.mp4,ACC,60,raw,1.0346948785155
narrative_order,end,benz,LATE_MB.mp4,EA,60,raw,4.2909668
narrative_order,end,benz,LATE_MB.mp4,HR,60,raw,68.5176675872205
narrative_order,end,benz,LATE_MB.mp4,ACC,61,raw,1.03487285186058
narrative_order,end,benz,LATE_MB.mp4,EA,61,raw,4.27979553333333
narrative_order,end,benz,LATE_MB.mp4,HR,61,raw,68.6156900015084
narrative_order,end,benz,LATE_MB.mp4,ACC,62,raw,1.0342809882305
narrative_order,end,benz,LATE_MB.mp4,EA,62,raw,4.26483033333333
narrative_order,end,benz,LATE_MB.mp4,HR,62,raw,68.7139932823128
narrative_order,end,benz,LATE_MB.mp4,ACC,63,raw,1.03464334840637
narrative_order,end,benz,LATE_MB.mp4,EA,63,raw,4.26142761538462
narrative_order,end,benz,LATE_MB.mp4,HR,63,raw,68.6156900015084
cluster,man,pizza,pizza.mp4,HR,94,raw,71.5618875662283
narrative_order,end,benz,LATE_MB.mp4,ACC,0,norm,-0.483524197787442
narrative_order,end,benz,LATE_MB.mp4,EA,0,norm,-1.02572596784839
narrative_order,end,benz,LATE_MB.mp4,HR,0,norm,0.697065419484307
narrative_order,end,benz,LATE_MB.mp4,EA,1,norm,-1.11468300981385
narrative_order,end,benz,LATE_MB.mp4,ACC,1,norm,-0.276724462348621
narrative_order,end,benz,LATE_MB.mp4,HR,1,norm,0.995616708619375
narrative_order,end,benz,LATE_MB.mp4,EA,2,norm,-1.13159838474918
narrative_order,end,benz,LATE_MB.mp4,ACC,2,norm,-0.354218136227425
narrative_order,end,benz,LATE_MB.mp4,HR,2,norm,1.01447493749304
narrative_order,end,benz,LATE_MB.mp4,EA,3,norm,-1.03315865136931
narrative_order,end,benz,LATE_MB.mp4,ACC,3,norm,-0.526671128491072
narrative_order,end,benz,LATE_MB.mp4,HR,3,norm,1.71170049771719
narrative_order,end,benz,LATE_MB.mp4,EA,4,norm,-0.632435004070369
narrative_order,end,benz,LATE_MB.mp4,ACC,4,norm,-0.0620860507407557
narrative_order,end,benz,LATE_MB.mp4,HR,4,norm,1.5800882171212
narrative_order,end,benz,LATE_MB.mp4,EA,5,norm,-0.132400054616798
narrative_order,end,benz,LATE_MB.mp4,ACC,5,norm,-0.0993067203639725
narrative_order,end,benz,LATE_MB.mp4,HR,5,norm,0.870599576934507
narrative_order,end,benz,LATE_MB.mp4,EA,6,norm,0.129905244828858
narrative_order,end,benz,LATE_MB.mp4,ACC,6,norm,-0.154318835943796
narrative_order,end,benz,LATE_MB.mp4,HR,6,norm,0.603406931862966
narrative_order,end,benz,LATE_MB.mp4,EA,7,norm,0.380858838651093
narrative_order,end,benz,LATE_MB.mp4,ACC,7,norm,-0.143281134425092
narrative_order,end,benz,LATE_MB.mp4,HR,7,norm,0.501304229096056
narrative_order,end,benz,LATE_MB.mp4,ACC,8,norm,-0.0563112836973152
narrative_order,end,benz,LATE_MB.mp4,EA,8,norm,0.842631461945427
narrative_order,end,benz,LATE_MB.mp4,HR,8,norm,0.455944458326971
narrative_order,end,benz,LATE_MB.mp4,ACC,9,norm,-0.149021025317567
narrative_order,end,benz,LATE_MB.mp4,EA,9,norm,1.05638814474375
